cc7_LISEQ;cc7_LISEQ_SNPaddress;;;;;;;
ref_CC7;ref_CC7 - 1.1.1.1.1.1.1;;;;;;;
RL15000089;RL15000089 - 1.2.2.2.2.2.2;;;;;;;
RL15000099;RL15000099 - 1.2.2.2.2.2.2;;;;;;;
RL15000072;RL15000072 - 1.2.2.2.2.2.3;;;;;;;
RL15000066;RL15000066 - 1.2.2.2.2.2.4;;;;;;;
RL15001370;RL15001370 - 1.3.3.3.3.3.5;;;;;;;
RL15000250;RL15000250 - 1.1.4.4.4.4.6;;;;;;;
RL15000351;RL15000351 - 1.1.5.5.5.5.7;;;;;;;
RL15000260;RL15000260 - 1.1.4.4.4.4.8;;;;;;;
RL15000275;RL15000275 - 1.1.4.4.4.4.6;;;;;;;
RL15000279;RL15000279 - 1.1.4.4.4.4.6;;;;;;;
RL15000304;RL15000304 - 1.4.6.6.6.6.9;;;;;;;
RL15000445;RL15000445 - 1.1.7.7.7.7.10;;;;;;;
RL15000450;RL15000450 - 1.1.8.8.8.8.11;;;;;;;
RL15000389;RL15000389 - 1.5.9.9.9.9.12;;;;;;;
RL15000543;RL15000543 - 1.5.9.9.9.9.13;;;;;;;
RL15000654;RL15000654 - 1.1.10.10.10.10.14;;;;;;;
RL15000535;RL15000535 - 1.1.11.11.11.11.15;;;;;;;
RL15000658;RL15000658 - 1.6.12.12.12.12.16;;;;;;;
RL15001372;RL15001372 - 1.3.3.3.3.3.17;;;;;;;
RL15000320;RL15000320 - 1.1.13.13.13.13.18;;;;;;;
RL15000162;RL15000162 - 1.4.6.6.6.14.19;;;;;;;
RL15001380;RL15001380 - 1.1.14.14.14.15.20;;;;;;;
RL15001539;RL15001539 - 1.1.15.15.15.16.21;;;;;;;
RL15001291;RL15001291 - 1.7.16.16.16.17.22;;;;;;;
RL15001568;RL15001568 - 1.1.17.17.17.18.23;;;;;;;
RL15001578;RL15001578 - 1.8.18.18.18.19.24;;;;;;;
RL15001566;RL15001566 - 1.1.17.17.19.20.25;;;;;;;
RL15001604;RL15001604 - 1.1.4.19.20.21.26;;;;;;;
RL15001611;RL15001611 - 1.1.4.19.20.21.27;;;;;;;
RL15001612;RL15001612 - 1.1.4.19.20.21.28;;;;;;;
RL15001614;RL15001614 - 1.9.19.20.21.22.29;;;;;;;
RL15001618;RL15001618 - 1.1.20.21.22.23.30;;;;;;;
RL15001631;RL15001631 - 1.10.21.22.23.24.31;;;;;;;
RL15000273;RL15000273 - 1.11.22.23.24.25.32;;;;;;;
RL15001572;RL15001572 - 1.1.17.17.19.20.33;;;;;;;
RL14000063;RL14000063 - 1.12.23.24.25.26.34;;;;;;;
RL15003002;RL15003002 - 1.1.17.17.26.27.35;;;;;;;
RL15003007;RL15003007 - 1.1.17.17.26.27.36;;;;;;;
RL15001396;RL15001396 - 1.3.3.3.3.3.37;;;;;;;
RL15001398;RL15001398 - 1.3.3.3.3.3.38;;;;;;;
RL15001408;RL15001408 - 1.3.3.3.3.3.5;;;;;;;
RL15001410;RL15001410 - 1.3.3.3.3.3.5;;;;;;;
RL15001411;RL15001411 - 1.3.3.3.3.3.5;;;;;;;
RL15001395;RL15001395 - 1.3.3.3.3.3.39;;;;;;;
